"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","Site"
"192","308","315","322","329","336","343","350",NA,NA,NA,NA,NA,NA,NA,"MT_Forest_Hebblewhite_22_32_JM13_02_2022"
"193","263","270","277","284","291","298","304",NA,NA,NA,NA,NA,NA,NA,"MT_Forest_Hebblewhite_22_32_JM13_2022"
"194","264","271","278","285","292","299","305",NA,NA,NA,NA,NA,NA,NA,"MT_Forest_Hebblewhite_22_33_JM9_01_2022"
"195","310","317","324","331","338","345","351",NA,NA,NA,NA,NA,NA,NA,"MT_Forest_Hebblewhite_22_33_JM9_02_2022"
"196","247","254","261","268","275","282","289","296","303",NA,NA,NA,NA,NA,"MT_Forest_RiverTrail_21_dep_02_2021"
"197","247","254","261","268","275","282","289","296","303",NA,NA,NA,NA,NA,"MT_Forest_RiverTrail_21_dep_04_2021"
"198","244","251","258","265","272","279","286","293","300","306",NA,NA,NA,NA,"MT_Forest_RiverTrail_21_dep_08_2021"
"199","244","251","258","265","272","279","284",NA,NA,NA,NA,NA,NA,NA,"MT_Forest_RiverTrail_21_dep_09_2021"
"200","244","251","258","263",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MT_Forest_RiverTrail_22_Cam01_2022"
"201","288","295","302","308",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MT_Forest_RiverTrail_22_Cam02_2022"
"202","264","271","278","283",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MT_Forest_RiverTrail_22_Cam03_2022"
"203","265","272","279","286","293","300","307",NA,NA,NA,NA,NA,NA,NA,"MT_Forest_RiverTrail_22_Cam04_2022"
"204","265","272","279","286","293","300","307",NA,NA,NA,NA,NA,NA,NA,"MT_Forest_RiverTrail_22_Cam05_2022"
"205","258","265","272","279","286","293","300","307",NA,NA,NA,NA,NA,NA,"MT_Forest_RiverTrail_22_Cam06_2022"
"206","247","254","261","268","275","282","289","296","303","308",NA,NA,NA,NA,"MT_Forest_RiverTrail_22_Cam08_2022"
"207","264","271","278","284",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MT_Forest_RiverTrail_22_Cam09_2022"
"208","290","297",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MT_Forest_RiverTrail_22_Cam10_2022"
"209","241","248","255","262","269","276","283","290","297","304","311","317",NA,NA,"MT_Forest_RiverTrail_Cam01_2023"
